Vuosi	Tammi	Helmi	Maalis	Huhti	Touko	Kesä	Heinä	Elo	Syys	Loka	Marras	Joulu
1986	60.9	5.9	28.4	43.3	36.1	28.8	82.0	159.9	65.4	82.2	89.7	67.9
1987	17.4	32.6	18.1	3.9	48.1	88.5	33.6	84.2	117.7	38.6	90.9	27.9
1988	44.6	57.5	44.7	23.5	6.6	41.3	81.1	98.7	87.4	97.6	10.3	68.9
1989	32.6	71.6	57.6	47.0	31.9	25.0	68.9	92.2	30.3	45.5	73.7	67.7
1990	84.8	100.9	42.0	14.3	35.7	19.7	109.3	41.7	89.7	81.7	65.7	36.9
1991	77.4	18.1	38.5	15.8	40.9	65.0	22.6	85.1	60.4	54.0	87.5	25.9
1992	52.4	42.4	56.2	50.6	15.9	16.9	31.0	128.4	52.1	115.9	75.6	32.5
1993	50.6	29.0	33.9	18.9	4.6	38.8	135.9	114.6	16.3	47.5	7.1	75.7
1994	53.7	0.9	68.8	64.1	48.8	56.7	1.8	67.4	129.0	60.7	28.6	78.7
1995	42.7	64.8	47.4	21.9	65.7	30.7	27.7	51.3	67.1	49.0	66.6	13.9
1996	4.7	25.2	25.4	34.6	67.9	58.2	123.7	1.2	29.3	63.3	160.0	38.7
1997	44.4	45.4	16.1	26.6	17.3	44.0	12.2	25.0	50.6	60.9	63.2	35.4
1998	56.0	33.6	22.4	25.3	38.2	102.1	94.0	122.5	34.2	118.2	46.5	55.1
1999	78.9	80.5	24.2	50.2	7.1	23.9	59.4	59.6	20.7	100.0	31.0	87.9
2000	40.7	41.1	29.5	42.0	33.2	76.0	74.4	79.5	16.6	89.5	113.7	70.2
2001	53.5	43.6	34.2	79.4	14.8	86.6	58.8	86.2	81.1	62.7	78.0	29.8
2002	64.1	48.5	36.5	7.1	18.0	67.8	39.0	5.5	5.3	32.5	63.0	11.4
2003	45.8	11.8	8.7	30.6	68.9	47.2	22.6	111.0	25.6	62.2	59.7	79.5
2004	45.6	41.9	48.3	5.7	32.7	81.5	176.7	83.6	87.4	62.6	90.8	71.8
2005	90.8	17.5	7.2	9.8	66.9	72.0	49.7	180.2	19.7	34.9	72.6	26.3
2006	19.8	22.7	43.9	37.7	41.6	20.0	3.4	11.8	22.1	183.6	61.3	54.9
2007	89.3	15.5	38.0	33.9	68.3	42.2	55.5	95.2	87.1	48.4	63.9	85.7
2008	68.0	56.1	55.5	45.2	8.6	85.3	15.6	93.9	70.8	134.5	91.0	61.5
2009	33.4	19.5	33.8	6.5	44.8	74.9	130.7	48.7	39.8	89.8	85.5	51.4
2010	30.4	45.4	53.8	42.4	58.5	32.6	49.4	96.5	49.7	28.8	89.1	87.0
2011	69.9	24.0	15.3	29.0	26.5	48.8	55.8	172.5	87.9	68.5	26.6	120.8
2012	90.2	61.0	36.1	55.2	65.3	87.5	53.6	39.3	159.9	93.2	80.0	85.2
2013	30.0	44.6	16.1	32.0	33.1	32.1	34.5	143.3	17.0	71.2	84.1	47.8
2014	45.9	24.4	29.7	9.3	64.2	72.2	12.8	121.1	54.2	41.7	50.8	68.3
2015	65.1	25.2	46.8	54.8	39.8	88.7	74.8	52.7	61.3	17.0	69.7	48.3
2016	51.8	75.6	13.6	72.3	7.9	140.4	62.4	67.7	58.0	24.8	68.0	14.1
2017	21.5	27.3	33.6	36.6	14.1	80.5	34.5	88.9	67.7	179.0	98.3	114.8
2018	43.1	33.2	24.7	41.6	8.2	40.3	44.2	51.5	67.5	39.8	25.1	43.0
2019	72.0	49.6	44.6	6.2	61.9	15.6	72.2	82.2	76.5	101.8	81.6	76.4
2020	53.0	80.3	49.3	39.0	53.4	74.5	83.2	76.7	55.2	64.2	59.3
